brand,image_url,item_id,others,price,price_shipping,rating,rating_num,title
GIGABYTE,https://c1.neweggimages.com/ProductImageCompressAll300/14-932-580-15.jpg,N82E16814932580,"{'MaxResolution': '7680 x 4320', 'DisplayPort': '3 x DisplayPort 1.4', 'HDMI': '1 x HDMI 2.1', 'DirectX': 'DirectX 12 Ultimate', 'Model': 'GV-N407TGAMING OC-12GD'}",849.99,0.0,4.9,53,"GIGABYTE GeForce RTX 4070 Ti GAMING OC 12G Graphics Card, 3x WINDFORCE Fans, 12GB 192-bit GDDR6X, GV-N407TGAMING OC-12GD Video Card"
brand,image_url,item_id,others,price,price_shipping,rating,rating_num,title
GIGABYTE,https://c1.neweggimages.com/ProductImageCompressAll300/14-932-580-15.jpg,N82E16814932580,"{'MaxResolution': '7680 x 4320', 'DisplayPort': '3 x DisplayPort 1.4', 'HDMI': '1 x HDMI 2.1', 'DirectX': 'DirectX 12 Ultimate', 'Model': 'GV-N407TGAMING OC-12GD'}",849.99,0.0,4.9,53,"GIGABYTE GeForce RTX 4070 Ti GAMING OC 12G Graphics Card, 3x WINDFORCE Fans, 12GB 192-bit GDDR6X, GV-N407TGAMING OC-12GD Video Card"
Sapphire Tech,https://c1.neweggimages.com/ProductImageCompressAll300/14-202-424-01.jpg,N82E16814202424,"{'MaxResolution': '7680 x 4320', 'DisplayPort': '3 x DisplayPort 1.4', 'HDMI': '1 x HDMI 2.1', 'DirectX': 'DirectX 12 Ultimate', 'Model': '11321-02-20G'}",279.99,0.0,4.4,48,SAPPHIRE PULSE Radeon RX 6700 10GB GDDR6 PCI Express 4.0 ATX Video Card 11321-02-20G
AX Gaming,https://c1.neweggimages.com/ProductImageCompressAll300/BGW6S2210290MUBUWBA.jpg,1FT-00J6-00007?Item=9SIBGW6J9Y3807&cm_sp=SP-_-1817344-_-Pers_SubCategorySponsoredProduct-_-4-_-9SIBGW6J9Y3807-_-48-_--_-6,"{'MaxResolution': '7680 x 4320', 'DisplayPort': '3 x DisplayPort 1.4a', 'HDMI': '1 x HDMI 2.1a', 'DirectX': 'DirectX 12', 'Model': 'RTX 3060'}",329.0,0.0,5.0,3,Inno3D AX New White RTX 3060 X2W 12GB Graphics Card GDDR6 192bit 8Pin 8NM NVIDIA GPU Video Cards
GIGABYTE,https://c1.neweggimages.com/ProductImageCompressAll300/14-932-562-21.jpg,N82E16814932562,"{'MaxResolution': '7680 x 4320', 'DisplayPort': '3 x DisplayPort 1.4a', 'HDMI': '1 x HDMI 2.1', 'DirectX': 'DirectX 12', 'Model': 'GV-N4080EAGLE OC-16GD'}",1189.99,0.0,4.0,39,GIGABYTE EAGLE OC GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N4080EAGLE OC-16GD
51Risc,https://c1.neweggimages.com/ProductImageCompressAll300/B86XS2305080BRG42BB.jpg,27N-0081-00008?Item=9SIB86XJ815418&cm_sp=SP-_-1867725-_-Pers_SubCategorySponsoredProduct-_-4-_-9SIB86XJ815418-_-48-_--_-9,"{'MaxResolution': '4096 x 2160 (DisplayPort)', 'DisplayPort': '2 x DisplayPort', 'HDMI': '1 x HDMI', 'DirectX': 'DirectX 12', 'Model': ''}",119.0,0.0,5.0,1,51RISC RX5500XT 8G D6 Gaming Graphics Card with 8G/128bit/GDDR6 Memory 16GHz Memory Frequency DirectX12 3D Feature Ship From USA
ASUS,https://c1.neweggimages.com/ProductImageCompressAll300/14-126-639-V01.jpg,N82E16814126639,"{'MaxResolution': '7680 x 4320', 'DisplayPort': '3 x DisplayPort 1.4a', 'HDMI': '1 x HDMI 2.1', 'DirectX': 'DirectX 12', 'Model': 'DUAL-RTX4070-12G'}",599.99,0.0,4.7,14,"ASUS Dual GeForce RTX 4070 12GB GDDR6X, IP5X, Auto-Extreme Technology, 144-Hour Validation Program, HDMI 2.1a, DP 1.4a, DUAL-RTX4070-12G"
MSI,https://c1.neweggimages.com/ProductImageCompressAll300/14-137-761-34.png,N82E16814137761,"{'MaxResolution': '7680 x 4320', 'DisplayPort': '3 x DisplayPort 1.4a', 'HDMI': '1 x HDMI 2.1', 'DirectX': 'DirectX 12 Ultimate', 'Model': 'RTX 4090 GAMING X TRIO 24G'}",1649.99,0.0,4.6,79,MSI Gaming GeForce RTX 4090 24GB GDDR6X PCI Express 4.0 Video Card RTX 4090 GAMING X TRIO 24G
GIGABYTE,https://c1.neweggimages.com/ProductImageCompressAll300/14-932-434-V10.jpg,N82E16814932434,"{'MaxResolution': '7680 x 4320', 'DisplayPort': '2 x DisplayPort 1.4a', 'HDMI': '2 x HDMI 2.1', 'DirectX': 'DirectX 12 Ultimate', 'Model': 'GV-N3060EAGLE OC-12GD (rev. 2.0)'}",349.99,0.0,4.5,93,GIGABYTE Eagle OC GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 ATX Video Card GV-N3060EAGLE OC-12GD (rev. 2.0) (LHR)
