12 Years a Slave,7.9
1,7.6
2001: A Space Odyssey,7.7
3 Idiots,7.8
5 Broken Cameras,7.6
à¸ªà¸´à¹ˆà¸‡à¹€à¸¥à¹‡à¸à¹€à¸¥à¹‡à¸à¸—à¸µà¹ˆà¹€à¸£à¸µà¸¢à¸à¸§à¹ˆà¸²...à¸£à¸±à¸,7.6
About Time,7.7
A Charlie Brown Christmas,7.6
A Charlie Brown Thanksgiving,7.6
A Clockwork Orange,7.7
A Faster Horse,8
Alien,7.6
Aliens,7.6
Alive Inside,7.7
American Beauty,7.7
American History X,8
And Then There Were None,7.7
Ã”nibus 174,7.6
An Inspector Calls,7.8
Anne of Green Gables,7.9
Annie Hall,7.6
A Personal Journey with Martin Scorsese Through American Movies,8.5
Apocalypse Now,7.8
Babam ve oÄŸlum,8.2
Back to the Future,7.8
Band of Brothers,8
Baraka,7.6
Batman Beyond: Return of the Joker,7.6
Batman: Strange Days,7.6
"Batman: The Dark Knight Returns Part 1",7.6
"Batman: The Dark Knight Returns Part 2",7.8
Batman: Under the Red Hood,7.6
Batman Unmasked: The Psychology of the Dark Knight,8
Before Sunrise,7.6
Being There,7.6
Beneath Hill 60,7.6
Best Worst Movie,7.6
Beyonce: Life Is But A Dream,7.8
Big Hero 6,7.8
Bill Burr: Let It Go,8
Bill Burr: Why Do I Do This?,8
Bill Burr: You People Are All The Same,8.1
Bill Cunningham New York,8.1
Bill Hicks: Relentless,8.4
Bill Hicks: Revelations,7.8
Billy Elliot: The Musical,8.1
Bitter Lake,7.8
Blackfish,7.9
Black Mirror: White Christmas,8.8
Blade Runner,7.7
Bo Burnham: what.,7.7
Bones Brigade: An Autobiography,8.1
Bonnie and Clyde,7.6
Bound by Honor,7.7
Boyhood,7.6
BURNâ€¢E,7.9
Captain America: The Winter Soldier,7.6
Captain Phillips,7.7
Casino,7.6
Catch Me If You Can,7.6
Chasing Ice,7.7
Chinatown,7.7
Chris Rock: Kill the Messenger,7.8
Citizenfour,7.8
Collapse,7.7
Cosmic Scrat-tastrophe,7.7
Cowspiracy: The Sustainability Secret,7.6
Crown for Christmas,7.6
